,id,imdb_id,release_year,popularity,budget,revenue,runtime,vote_average,variable,value,profit
35042,1850,tt0125664,1999,0.581756,82000000,47434430,118,6.6,Comedy,1,-34565570
35044,26177,tt0207972,1999,0.54872,14678640,10824,90,5.5,Comedy,1,-14667816
35049,913,tt0155267,1999,0.508128,48000000,124305181,113,6.7,Comedy,1,76305181
35053,11001,tt0181316,1999,0.49601000000000006,65000000,117758500,93,6.0,Comedy,1,52758500
35058,10563,tt0144640,1999,0.45956,20000000,10824,98,5.0,Comedy,1,-19989176
35062,41586,tt0177876,1999,0.42499799999999893,14678640,10824,91,5.4,Comedy,1,-14667816
35064,10154,tt0130121,1999,0.416778,14678640,10824,102,5.0,Comedy,1,-14667816
35066,17198,tt0165874,1999,0.40647,14678640,10824,88,6.0,Comedy,1,-14667816
35068,12596,tt0120797,1999,0.401336,33000000,10824,124,5.5,Comedy,1,-32989176
35070,2162,tt0163579,1999,0.393985,70000000,11263966,101,5.4,Comedy,1,-58736034
35072,6522,tt0123964,1999,0.383326,80000000,73345029,108,6.6,Comedy,1,-6654971
35073,21349,tt0149691,1999,0.382872,23000000,18653615,114,5.9,Comedy,1,-4346385
35075,9849,tt0120764,1999,0.88284,65000000,36850101,94,5.2,Comedy,1,-28149899
35076,10210,tt0140379,1999,0.364241,11000000,10824,116,5.6,Comedy,1,-10989176
35079,12220,tt0160916,1999,0.5737180000000001,50000000,58900031,95,5.9,Comedy,1,8900031
35080,14429,tt0164114,1999,0.25754699999999997,8000000,17843379,91,5.9,Comedy,1,9843379
35083,10208,tt0158811,1999,1.104937,24000000,16290976,87,5.7,Comedy,1,-7709024
35085,24137,tt0122541,1999,0.33324499999999996,14000000,18535191,97,6.4,Comedy,1,4535191
35086,13099,tt0206334,1999,0.331443,14678640,10824,114,6.0,Comedy,1,-14667816
35087,2290,tt0120716,1999,0.330491,14678640,10824,120,6.1,Comedy,1,-14667816
35088,10402,tt0205000,1999,0.328409,17000000,65535067,88,5.3,Comedy,1,48535067
35090,6552,tt0138510,1999,0.323791,25000000,4152230,92,6.1,Comedy,1,-20847770
35094,11129,tt0188674,1999,0.312827,600000,4000000,99,6.8,Comedy,1,3400000
35096,11353,tt0131325,1999,0.312306,55000000,10824,97,6.0,Comedy,1,-54989176
35097,10342,tt0133046,1999,0.377269,13000000,8946237,96,5.3,Comedy,1,-4053763
35098,13787,tt0144715,1999,0.304124,14678640,10824,115,5.8,Comedy,1,-14667816
35100,14709,tt0139699,1999,0.301845,14678640,10824,106,5.7,Comedy,1,-14667816
35104,20770,tt0179116,1999,0.299004,14678640,10824,85,6.4,Comedy,1,-14667816
35106,13824,tt0167427,1999,0.296655,14678640,10824,81,4.8,Comedy,1,-14667816
35109,10490,tt0157503,1999,0.285902,10000000,10571408,98,6.2,Comedy,1,571408
35110,9684,tt0158371,1999,0.281948,14678640,10824,95,6.5,Comedy,1,-14667816
35112,16162,tt0168501,1999,0.066504,9000000,34573780,120,7.8,Comedy,1,25573780
35113,16172,tt0145893,1999,0.23141799999999998,6000000,4398989,95,6.2,Comedy,1,-1601011
35115,19594,tt0197273,1999,0.26905999999999997,14678640,10824,67,5.8,Comedy,1,-14667816
35116,13428,tt0145547,1999,0.265623,14678640,10824,103,5.4,Comedy,1,-14667816
35119,15198,tt0134618,1999,0.260903,28000000,8888143,119,5.8,Comedy,1,-19111857
35122,16158,tt0161100,1999,0.25073,6000000,25059640,106,7.6,Comedy,1,19059640
35124,15256,tt0137338,1999,0.246669,6000000,6852450,101,6.5,Comedy,1,852450
35126,8970,tt0129280,1999,0.24279699999999999,75000000,29000000,90,5.2,Comedy,1,-46000000
35127,9465,tt0126250,1999,0.319907,10000000,10824,118,6.2,Comedy,1,-9989176
35131,18417,tt0123209,1999,0.297398,35000000,10824,130,5.9,Comedy,1,-34989176
35136,20761,tt0196857,1999,0.212029,24000000,8434146,124,5.3,Comedy,1,-15565854
35137,815,tt0204824,1999,0.20768000000000003,23000000,10824,91,5.6,Comedy,1,-22989176
35139,24066,tt0162360,1999,0.20441099999999998,1700000,1943649,98,5.3,Comedy,1,243649
35141,13589,tt0184424,1999,0.20056,14678640,10824,114,7.1,Comedy,1,-14667816
35142,24071,tt0140397,1999,0.198477,14678640,10824,112,5.6,Comedy,1,-14667816
35145,18892,tt0155776,1999,0.195048,3000000,3076820,87,5.6,Comedy,1,76820
35147,46435,tt0151568,1999,0.187628,14678640,10824,160,6.5,Comedy,1,-14667816
35148,16406,tt0144168,1999,0.187319,13000000,27500000,94,5.7,Comedy,1,14500000
35149,31582,tt0155711,1999,0.186474,14678640,4488529,112,6.2,Comedy,1,-10190111
35154,14005,tt0169299,1999,0.081035,14678640,10824,114,6.3,Comedy,1,-14667816
35155,14578,tt0125971,1999,0.16333699999999898,7000000,7292175,96,5.6,Comedy,1,292175
35156,54004,tt0202521,1999,0.162638,14678640,10824,87,6.1,Comedy,1,-14667816
35159,12479,tt0120618,1999,0.175782,12000000,10824,110,4.8,Comedy,1,-11989176
35163,194113,tt0212579,1999,0.132643,4250000,10824,33,6.8,Comedy,1,-4239176
35165,17709,tt0160236,1999,0.129744,70000000,10824,77,3.5,Comedy,1,-69989176
35166,16508,tt0187819,1999,0.127664,14678640,10824,77,5.4,Comedy,1,-14667816
35168,17870,tt0206636,1999,0.12236500000000002,14678640,10824,65,7.4,Comedy,1,-14667816
35169,1812,tt0162710,1999,0.11818699999999999,450000,2049595,89,6.5,Comedy,1,1599595
35170,22345,tt0118665,1999,0.116694,12000000,36450736,97,3.8,Comedy,1,24450736
35172,10381,tt0134033,1999,0.10516800000000001,14678640,10824,93,5.9,Comedy,1,-14667816
35175,83965,tt0200208,1999,0.083178,14678640,10824,95,5.5,Comedy,1,-14667816
35176,10557,tt0166175,1999,0.238748,3800000,28200000,97,6.5,Comedy,1,24400000
35177,39964,tt0120836,1999,0.090186,1,100,95,4.8,Comedy,1,99
35180,36251,tt0217074,1999,0.19893,14678640,10824,85,4.2,Comedy,1,-14667816
35182,10482,tt0202381,1999,0.077584,14678640,10824,89,5.6,Comedy,1,-14667816
35183,10368,tt0120857,1999,0.079104,12000000,21001563,117,5.7,Comedy,1,9001563
35184,32874,tt0209297,1999,0.064295,14678640,10824,120,4.7,Comedy,1,-14667816
35185,34513,tt0246645,1999,0.05159400000000001,14678640,10824,65,6.9,Comedy,1,-14667816
35186,53915,tt0181396,1999,0.034182,14678640,10824,90,5.2,Comedy,1,-14667816
35188,17681,tt0196931,1999,0.043438,14678640,10824,70,6.8,Comedy,1,-14667816
35196,585,tt0198781,2001,3.204295,115000000,562816256,92,7.3,Comedy,1,447816256
35198,808,tt0126029,2001,2.9185659999999998,60000000,484409218,90,7.1,Comedy,1,424409218
35199,634,tt0243155,2001,2.7173990000000003,25000000,281929795,97,6.5,Comedy,1,256929795
35206,2770,tt0252866,2001,2.116602,30000000,287553595,108,5.9,Comedy,1,257553595
35207,9880,tt0247638,2001,2.061559,37000000,165335153,115,6.3,Comedy,1,128335153
35210,9428,tt0265666,2001,1.857978,21000000,71441250,110,7.3,Comedy,1,50441250
35214,8835,tt0250494,2001,1.6977529999999899,18000000,141774679,96,6.1,Comedy,1,123774679
35216,9398,tt0196229,2001,1.581446,28000000,60780981,89,6.1,Comedy,1,32780981
35217,11397,tt0277371,2001,1.456526,16000000,66468332,89,5.3,Comedy,1,50468332
35218,4248,tt0257106,2001,1.450364,45000000,141220678,83,5.5,Comedy,1,96220678
35219,5175,tt0266915,2001,1.447916,90000000,347325802,90,6.5,Comedy,1,257325802
35222,12589,tt0268397,2001,1.213215,25000000,80936232,83,5.5,Comedy,1,55936232
35223,2294,tt0261392,2001,1.20913,22000000,33788161,104,6.3,Comedy,1,11788161
35224,9778,tt0240890,2001,1.195555,28000000,77516304,90,6.6,Comedy,1,49516304
35225,10992,tt0239395,2001,1.134012,60000000,93375151,87,5.0,Comedy,1,33375151
35231,9889,tt0256380,2001,1.061903,40000000,141069860,114,5.5,Comedy,1,101069860
35238,10808,tt0240462,2001,0.913069,70000000,176104344,87,4.9,Comedy,1,106104344
35241,11232,tt0035423,2001,0.883228,14678640,10824,118,5.8,Comedy,1,-14667816
35242,11467,tt0265029,2001,0.878720999999999,14678640,10824,102,5.4,Comedy,1,-14667816
35246,39939,tt0247745,2001,0.813396,3000000,18492362,100,6.7,Comedy,1,15492362
35247,2018,tt0209475,2001,0.798104,35000000,94728529,103,5.4,Comedy,1,59728529
35248,9896,tt0250687,2001,0.7878350000000001,48000000,85498534,112,5.9,Comedy,1,37498534
35251,6073,tt0236493,2001,0.746989,57000000,147845033,123,5.7,Comedy,1,90845033
35256,10829,tt0259685,2001,0.705609,14678640,10824,104,5.2,Comedy,1,-14667816
35257,2144,tt0203755,2001,0.6980609999999989,14678640,10824,93,5.5,Comedy,1,-14667816
35258,12508,tt0202470,2001,0.693522,57000000,16991902,105,5.9,Comedy,1,-40008098
35261,12658,tt0244970,2001,0.6649,23000000,10824,97,6.0,Comedy,1,-22989176
35262,17203,tt0212380,2001,0.65309,14678640,637769,91,5.4,Comedy,1,-14040871
35265,9290,tt0231402,2001,0.6353770000000001,21150000,39438674,92,4.8,Comedy,1,18288674
35267,21448,tt0300195,2001,0.624372,14678640,10824,65,6.4,Comedy,1,-14667816
35272,1548,tt0162346,2001,0.580121,14678640,10824,111,6.9,Comedy,1,-14667816
35276,20857,tt0180734,2001,0.5658770000000001,32000000,40222729,106,6.4,Comedy,1,8222729
35277,9397,tt0251075,2001,0.561179,80000000,98376292,101,5.4,Comedy,1,18376292
35278,10050,tt0192071,2001,0.560135,10000000,10824,87,5.6,Comedy,1,-9989176
35279,10833,tt0125022,2001,0.555793,35000000,10824,123,5.6,Comedy,1,-34989176
35285,10956,tt0245686,2001,0.521071,17700000,30987695,91,5.5,Comedy,1,13287695
35290,8386,tt0278488,2001,0.499301,12000000,31155435,93,6.5,Comedy,1,19155435
35291,16300,tt0231775,2001,0.49354799999999893,14678640,10824,87,4.7,Comedy,1,-14667816
35292,10646,tt0246989,2001,0.493288,11000000,23430766,95,4.8,Comedy,1,12430766
35293,6007,tt0279064,2001,0.478397,14678640,10824,89,6.6,Comedy,1,-14667816
35295,12138,tt0233142,2001,0.471789,62000000,18720175,125,5.4,Comedy,1,-43279825
35299,14034,tt0161083,2001,0.45507200000000003,45000000,10824,94,5.1,Comedy,1,-44989176
35302,10878,tt0239948,2001,0.447612,22000000,19351569,90,5.2,Comedy,1,-2648431
35303,2779,tt0256524,2001,0.446532,14678640,10824,103,6.1,Comedy,1,-14667816
35304,11091,tt0200027,2001,0.44392299999999996,48000000,35743308,132,6.4,Comedy,1,-12256692
35306,12610,tt0181739,2001,0.439101,75000000,13596911,95,5.6,Comedy,1,-61403089
35309,9104,tt0252299,2001,0.427146,15000000,10824,98,6.6,Comedy,1,-14989176
35310,24940,tt0192111,2001,0.42129300000000003,14000000,10424470,86,5.3,Comedy,1,-3575530
35313,441,tt0219822,2001,0.40848,6000000,705308,96,5.7,Comedy,1,-5294692
35319,10054,tt0227538,2001,0.386262,35000000,147934180,88,5.5,Comedy,1,112934180
35321,13403,tt0248845,2001,0.382563,14678640,10824,95,7.2,Comedy,1,-14667816
35322,9991,tt0291341,2001,0.381873,14678640,10824,99,6.1,Comedy,1,-14667816
35323,3172,tt0219965,2001,0.381751,75000000,67631903,123,6.1,Comedy,1,-7368097
35324,11090,tt0255798,2001,0.380227,22000000,84772742,84,4.5,Comedy,1,62772742
35327,56715,tt0189192,2001,0.356425,14678640,10824,88,4.7,Comedy,1,-14667816
35332,14369,tt0253798,2001,0.348262,24000000,14782676,89,6.1,Comedy,1,-9217324
35334,27601,tt0212879,2001,0.333096,500000,10824,109,6.3,Comedy,1,-489176
35340,2084,tt0188453,2001,0.318495,13000000,10824,93,6.1,Comedy,1,-12989176
35341,19405,tt0265632,2001,0.501163,10000000,44460850,83,6.5,Comedy,1,34460850
35344,32577,tt0283534,2001,0.298712,14678640,10824,93,5.6,Comedy,1,-14667816
35345,20755,tt0161220,2001,0.29335700000000003,14678640,10824,83,4.7,Comedy,1,-14667816
35347,21597,tt0265171,2001,0.286107,1500000,10824,90,5.6,Comedy,1,-1489176
35349,51532,tt0261203,2001,0.282381,14678640,10824,91,5.4,Comedy,1,-14667816
35351,24478,tt0294345,2001,0.457617,14678640,10824,93,4.4,Comedy,1,-14667816
35352,26602,tt0234829,2001,0.299969,34000000,19693891,108,4.8,Comedy,1,-14306109
35353,2171,tt0243655,2001,0.274314,5000000,295206,97,6.5,Comedy,1,-4704794
35360,34549,tt0273799,2001,0.269944,12000000,17292381,86,5.3,Comedy,1,5292381
35361,23685,tt0166276,2001,0.263042,75000000,5409517,93,4.0,Comedy,1,-69590483
35362,39180,tt0250720,2001,0.258176,14678640,10824,94,4.8,Comedy,1,-14667816
35363,16550,tt0250081,2001,0.257859,14678640,10824,87,5.8,Comedy,1,-14667816
35364,50035,tt0258273,2001,0.251798,250000,4186931,91,6.3,Comedy,1,3936931
35367,10615,tt0258038,2001,0.241272,14678640,10824,81,5.8,Comedy,1,-14667816
35369,17708,tt0250310,2001,0.239869,11000000,23978402,86,4.4,Comedy,1,12978402
35370,12312,tt0279889,2001,0.22767199999999999,38000000,10824,99,5.5,Comedy,1,-37989176
35371,1783,tt0243609,2001,0.507235,14678640,10824,108,6.3,Comedy,1,-14667816
35375,11469,tt0265087,2001,0.906593,14678640,10824,95,5.4,Comedy,1,-14667816
35376,9648,tt0268437,2001,0.21665399999999999,14678640,10824,97,5.7,Comedy,1,-14667816
35381,19366,tt0236348,2001,0.209579,22000000,10824,98,5.2,Comedy,1,-21989176
35384,37632,tt0193364,2001,0.205204,14678640,10824,89,3.8,Comedy,1,-14667816
35385,26014,tt0243931,2001,0.203888,14678640,10824,93,5.7,Comedy,1,-14667816
35387,13166,tt0240515,2001,0.202684,14678640,10824,87,4.3,Comedy,1,-14667816
35389,26840,tt0307461,2001,0.254157,14678640,10824,3,5.4,Comedy,1,-14667816
35390,29742,tt0271271,2001,0.017536000000000003,14678640,10824,100,4.7,Comedy,1,-14667816
35391,15647,tt0264761,2001,0.195196,1000000,10013424,97,5.9,Comedy,1,9013424
35393,71885,tt0273842,2001,0.191718,14678640,10824,110,4.2,Comedy,1,-14667816
35394,40415,tt0252665,2001,0.191697,14678640,10824,119,7.1,Comedy,1,-14667816
35400,20309,tt0239949,2001,0.173806,25000000,10824,95,5.1,Comedy,1,-24989176
35401,9683,tt0258470,2001,0.169845,14678640,10824,84,4.6,Comedy,1,-14667816
35404,20794,tt0234354,2001,0.164669,6000000,2025238,95,5.9,Comedy,1,-3974762
35405,16723,tt0186589,2001,0.26321,11000000,13276953,81,5.4,Comedy,1,2276953
35406,36269,tt0272360,2001,0.150233999999999,14678640,10824,93,5.7,Comedy,1,-14667816
35410,27834,tt0254199,2001,0.133455,14678640,10824,88,5.9,Comedy,1,-14667816
35411,26475,tt0254099,2001,0.19852999999999998,14678640,10824,115,5.6,Comedy,1,-14667816
35413,13408,tt0290332,2001,0.12891,7000000,10229331,93,5.6,Comedy,1,3229331
35415,15745,tt0227005,2001,0.126065,5000000,5476060,94,5.8,Comedy,1,476060
35421,35703,tt0297169,2001,0.200262,14678640,10824,87,5.6,Comedy,1,-14667816
35424,16161,tt0255819,2001,0.089976,16000000,29381649,130,7.4,Comedy,1,13381649
35428,46004,tt0274636,2001,0.0619169999999999,14678640,10824,86,5.3,Comedy,1,-14667816
35429,2029,tt0274155,2001,0.047949,14678640,10824,108,5.7,Comedy,1,-14667816
35430,18828,tt0238948,2001,0.026782999999999998,14678640,10824,88,5.8,Comedy,1,-14667816
35433,57961,tt0286975,2001,0.001349,165000,10824,99,5.5,Comedy,1,-154176
35442,13523,tt1135985,2008,2.90047,19000000,18755936,109,5.9,Comedy,1,-244064
35443,11631,tt0795421,2008,2.543535,52000000,609841637,108,6.2,Comedy,1,557841637
35451,88751,tt0373051,2008,1.996757,45000000,101702060,93,5.7,Comedy,1,56702060
35460,9029,tt1033643,2008,1.682909,35000000,170000000,99,5.8,Comedy,1,135000000
35462,7446,tt0942385,2008,1.622426,92000000,188072649,107,6.4,Comedy,1,96072649
35472,13053,tt0397892,2008,1.480497,150000000,309979994,96,6.3,Comedy,1,159979994
35473,9870,tt0800039,2008,1.4759879999999999,30000000,105173115,111,6.3,Comedy,1,75173115
35475,10201,tt1068680,2008,1.462377,70000000,225990978,104,6.3,Comedy,1,155990978
35476,14306,tt0822832,2008,1.462242,60000000,244082376,115,6.8,Comedy,1,184082376
35478,4944,tt0887883,2008,1.435434,37000000,163720069,96,6.3,Comedy,1,126720069
35479,6557,tt0988595,2008,1.400898,30000000,160259319,111,6.1,Comedy,1,130259319
35483,12133,tt0838283,2008,1.351237,65000000,128107642,98,6.6,Comedy,1,63107642
35484,8390,tt0832266,2008,1.341805,14678640,55447968,112,6.5,Comedy,1,40769328
35485,8676,tt0770752,2008,1.34132,70000000,111231041,112,5.3,Comedy,1,41231041
35487,10189,tt0910936,2008,1.273395,27000000,101624843,111,6.6,Comedy,1,74624843
35489,10202,tt0960731,2008,1.22837,80000000,212874442,99,5.8,Comedy,1,132874442
35494,10358,tt1007028,2008,1.133017,24000000,42105111,102,6.0,Comedy,1,18105111
35495,11665,tt0425061,2008,1.1214870000000001,80000000,230685453,110,5.9,Comedy,1,150685453
35496,15373,tt0430922,2008,1.1034680000000001,28000000,92380927,99,6.3,Comedy,1,64380927
35499,11887,tt0962726,2008,1.0918780000000001,14678640,10824,116,6.1,Comedy,1,-14667816
35503,8321,tt0780536,2008,1.054819,15000000,32002538,107,7.3,Comedy,1,17002538
35506,13335,tt0481536,2008,1.01377,12000000,43493123,107,6.0,Comedy,1,31493123
35507,13401,tt0809504,2008,1.007673,14678640,22707064,90,5.2,Comedy,1,8028424
35508,13971,tt1024255,2008,0.988883,14678640,10824,98,6.3,Comedy,1,-14667816
35511,15854,tt1287845,2008,0.9577040000000001,14678640,10824,25,6.4,Comedy,1,-14667816
35513,12182,tt0981227,2008,0.951793,9000000,32973937,89,6.4,Comedy,1,23973937
35514,12193,tt0369436,2008,0.943042,80000000,163733697,88,5.3,Comedy,1,83733697
35517,12620,tt0852713,2008,0.931752,25000000,70442940,97,5.6,Comedy,1,45442940
35521,12177,tt0811138,2008,0.885215,62000000,41819064,87,4.5,Comedy,1,-20180936
35524,12222,tt0451079,2008,0.8651049999999989,85000000,297138014,88,6.2,Comedy,1,212138014
35526,10503,tt1045670,2008,0.8424879999999989,14678640,18130888,118,5.9,Comedy,1,3452248
35533,10661,tt0960144,2008,0.787623,90000000,201596308,113,5.6,Comedy,1,111596308
35535,21583,tt1082853,2008,0.780936,14678640,2434658,94,5.1,Comedy,1,-12243982
35538,21861,tt1194616,2008,0.765289,14678640,10824,103,6.4,Comedy,1,-14667816
35546,14447,tt1118511,2008,0.730324,14678640,10824,30,7.0,Comedy,1,-14667816
35548,10761,tt0866439,2008,0.720175,40000000,84601681,101,5.8,Comedy,1,44601681
35556,7278,tt1073498,2008,0.68675,30000000,84646831,84,4.0,Comedy,1,54646831
35558,8457,tt0817538,2008,0.675717,40000000,10824,102,5.3,Comedy,1,-39989176
35560,14197,tt0404254,2008,0.66791,14678640,10824,92,6.2,Comedy,1,-14667816
35562,8285,tt0831887,2008,0.66173,60000000,39031337,103,4.6,Comedy,1,-20968663
35575,27996,tt1024724,2008,0.624139999999999,14678640,10824,85,4.9,Comedy,1,-14667816
35576,4564,tt1000774,2008,0.6204890000000001,65000000,415252786,145,6.1,Comedy,1,350252786
35577,10186,tt1031969,2008,0.615524,15000000,8762890,102,5.4,Comedy,1,-6237110
35579,10199,tt0420238,2008,0.6067,60000000,50877145,100,5.7,Comedy,1,-9122855
35580,13009,tt0960890,2008,0.603395,14678640,10824,94,4.4,Comedy,1,-14667816
35582,11918,tt0426592,2008,0.598695,35000000,25871834,85,4.9,Comedy,1,-9128166
35586,14405,tt1014775,2008,0.589940999999999,20000000,149281606,91,5.1,Comedy,1,129281606
35589,4953,tt0799934,2008,0.578298,14678640,10824,102,6.1,Comedy,1,-14667816
35590,13090,tt0862846,2008,0.5769890000000001,5000000,16174377,102,6.2,Comedy,1,11174377
35591,12889,tt1054485,2008,0.574813,14678640,10824,90,6.8,Comedy,1,-14667816
35594,13655,tt1055366,2008,0.560837,14678640,10824,94,5.8,Comedy,1,-14667816
35595,12797,tt0995039,2008,0.555690999999999,14678640,10824,102,6.1,Comedy,1,-14667816
35600,13253,tt1054486,2008,0.5340590000000001,14678640,10824,88,6.9,Comedy,1,-14667816
35602,12178,tt0970468,2008,0.528292,14678640,16051363,92,6.4,Comedy,1,1372723
35605,42982,tt1334272,2008,0.520388,14678640,10824,23,6.2,Comedy,1,-14667816
35606,13827,tt0976247,2008,0.518011,6000000,69497,85,5.0,Comedy,1,-5930503
35607,8780,tt0871426,2008,0.517412,30000000,63833449,99,5.8,Comedy,1,33833449
35608,13541,tt1079959,2008,0.514454,14678640,10824,191,6.2,Comedy,1,-14667816
35609,13991,tt0844671,2008,0.5134380000000001,7000000,6230276,94,4.8,Comedy,1,-769724
35614,13493,tt0997047,2008,0.5005109999999989,14678640,68397662,83,5.1,Comedy,1,53719022
35615,21755,tt0844286,2008,0.49916499999999997,20000000,5530764,114,6.8,Comedy,1,-14469236
35616,11260,tt0765476,2008,0.498026,60000000,50650079,90,5.1,Comedy,1,-9349921
35619,12912,tt0460745,2008,0.48013500000000003,14678640,240476,87,5.9,Comedy,1,-14438164
35624,12689,tt0963743,2008,0.472691,1,10824,100,6.5,Comedy,1,10823
35627,22419,tt0462219,2008,0.471096,6000000,10824,94,6.0,Comedy,1,-5989176
35628,12085,tt0951216,2008,0.469922,14678640,10824,104,5.9,Comedy,1,-14667816
35631,13690,tt1107365,2008,0.45988500000000004,14678640,10824,76,5.6,Comedy,1,-14667816
35632,13849,tt0465430,2008,0.457004,14678640,10824,92,6.4,Comedy,1,-14667816
35636,10188,tt1018785,2008,0.451304,27000000,44352417,117,6.0,Comedy,1,17352417
35638,14220,tt0489282,2008,0.44086000000000003,14678640,6575282,87,4.6,Comedy,1,-8103358
35640,13972,tt0430770,2008,0.436406,16000000,50007546,114,4.6,Comedy,1,34007546
35641,17108,tt0848538,2008,0.432911,10000000,22896728,100,5.1,Comedy,1,12896728
35642,15671,tt1076252,2008,0.43180100000000005,14678640,10824,92,5.0,Comedy,1,-14667816
35647,13160,tt0785007,2008,0.42165699999999995,10000000,10824,95,5.2,Comedy,1,-9989176
35649,13172,tt0803057,2008,0.42121000000000003,14678640,10824,86,5.3,Comedy,1,-14667816
35653,14655,tt1111948,2008,0.47322700000000006,14678640,10824,103,6.2,Comedy,1,-14667816
35655,14422,tt1029134,2008,0.402982,14678640,10824,85,6.0,Comedy,1,-14667816
35656,10378,tt1254207,2008,0.25618,150000,10824,8,6.5,Comedy,1,-139176
35666,16899,tt0808244,2008,0.39420900000000003,14678640,10824,93,6.2,Comedy,1,-14667816
35673,13973,tt1024715,2008,0.382852,3000000,3830137,92,6.1,Comedy,1,830137
35675,13191,tt0884224,2008,0.37403400000000003,5000000,1296184,106,5.5,Comedy,1,-3703816
35677,8944,tt0486674,2008,0.36839099999999997,25000000,6673422,104,5.1,Comedy,1,-18326578
35680,14728,tt1146438,2008,0.361127,14678640,10824,95,5.7,Comedy,1,-14667816
35686,14423,tt0486578,2008,0.35338,14678640,38804615,96,5.2,Comedy,1,24125975
35690,16710,tt1047494,2008,0.3487,14678640,41939392,100,6.4,Comedy,1,27260752
35692,18176,tt1018818,2008,0.345926,11500000,69564,93,6.2,Comedy,1,-11430436
35693,13805,tt1213644,2008,0.812489,25000000,14109284,87,3.3,Comedy,1,-10890716
35695,14771,tt0392878,2008,0.233961,14678640,10824,80,6.0,Comedy,1,-14667816
35697,20036,tt1094198,2008,0.337577,14678640,10824,92,5.1,Comedy,1,-14667816
35702,13596,tt1046163,2008,0.33511599999999997,20000000,36620508,101,5.3,Comedy,1,16620508
35707,14353,tt0963194,2008,0.32409099999999996,14678640,188126,98,6.5,Comedy,1,-14490514
35714,15616,tt1034320,2008,0.315339,14678640,10824,98,5.3,Comedy,1,-14667816
35716,13007,tt0815241,2008,0.312842,14678640,10824,101,6.9,Comedy,1,-14667816
35717,10187,tt1027862,2008,0.308655,21000000,17600000,120,5.7,Comedy,1,-3400000
35722,13094,tt0926063,2008,0.30389499999999997,14678640,10824,87,6.3,Comedy,1,-14667816
35723,16005,tt0981072,2008,0.287248,14678640,10824,113,6.1,Comedy,1,-14667816
35724,4204,tt1024733,2008,0.29896100000000003,14678640,10824,98,5.4,Comedy,1,-14667816
35728,33035,tt1139319,2008,0.28967800000000005,14678640,10824,89,6.1,Comedy,1,-14667816
35731,13107,tt1029120,2008,0.283736,14678640,1829917,99,5.8,Comedy,1,-12848723
35734,14940,tt1176251,2008,0.282915,14678640,165888,99,5.6,Comedy,1,-14512752
35736,9262,tt0780534,2008,0.282246,14678640,10824,97,5.4,Comedy,1,-14667816
35740,17334,tt1049405,2008,0.280443,14000000,10824,106,6.2,Comedy,1,-13989176
35741,14244,tt1213574,2008,0.279806,14678640,10824,79,7.8,Comedy,1,-14667816
35742,12890,tt0858479,2008,0.278543,7000000,10569964,95,5.5,Comedy,1,3569964
35745,8282,tt0836700,2008,0.276672,14678640,10824,100,6.0,Comedy,1,-14667816
35746,8669,tt0423977,2008,0.274362,12000000,10824,97,6.4,Comedy,1,-11989176
35751,17631,tt1277728,2008,0.128712,14678640,10824,75,6.6,Comedy,1,-14667816
35752,10488,tt0410377,2008,0.768409,37000000,100076342,96,5.5,Comedy,1,63076342
35754,10289,tt1075111,2008,0.265233,14678640,10824,97,4.9,Comedy,1,-14667816
35756,15706,tt1051981,2008,0.264137,14678640,10824,90,6.1,Comedy,1,-14667816
35757,14248,tt0465502,2008,0.259988,25000000,30000000,87,5.4,Comedy,1,5000000
35758,15544,tt0806147,2008,0.25984,14678640,10824,88,3.4,Comedy,1,-14667816
35760,19422,tt1117666,2008,0.258571,14678640,10824,184,6.1,Comedy,1,-14667816
35762,13260,tt0839980,2008,0.25588,14678640,33472850,91,5.3,Comedy,1,18794210
35764,16409,tt1046947,2008,0.253956,14678640,14879423,92,5.8,Comedy,1,200783
35765,13092,tt0455538,2008,0.659884,27000000,17286299,110,6.0,Comedy,1,-9713701
35766,18585,tt0806165,2008,0.248871,14678640,10824,122,6.4,Comedy,1,-14667816
35770,21910,tt0902290,2008,0.244375,14678640,10824,85,5.3,Comedy,1,-14667816
35781,8281,tt0827713,2008,0.25704099999999996,14678640,10824,108,7.2,Comedy,1,-14667816
35782,15342,tt1139800,2008,0.22710999999999998,14678640,10824,95,4.7,Comedy,1,-14667816
35784,13490,tt0494652,2008,0.224471,35000000,43650785,114,6.1,Comedy,1,8650785
35785,22152,tt0363780,2008,0.224208,1500000,10824,95,5.4,Comedy,1,-1489176
35786,14541,tt1295909,2008,0.22274699999999997,14678640,10824,85,6.6,Comedy,1,-14667816
35788,15088,tt1110626,2008,0.222071,14678640,10824,90,5.3,Comedy,1,-14667816
35791,8359,tt0846308,2008,0.219277,14678640,10824,101,6.4,Comedy,1,-14667816
35792,22371,tt1072755,2008,0.154973,14678640,10824,98,4.9,Comedy,1,-14667816
35798,14301,tt1227926,2008,0.352054,200000,3,42,7.7,Comedy,1,-199997
35802,14467,tt0473367,2008,0.193779,2300000,11100000,155,6.4,Comedy,1,8800000
35803,15511,tt0475998,2008,0.376053,14678640,10824,85,5.8,Comedy,1,-14667816
35804,63315,tt0804492,2008,0.188351,14678640,10824,91,3.2,Comedy,1,-14667816
35808,15126,tt1176954,2008,0.18099200000000001,14678640,10824,85,5.4,Comedy,1,-14667816
35816,13996,tt0914797,2008,0.168979,5000000,4040588,110,6.4,Comedy,1,-959412
